Raw Input, Filtered Output
0.349353, 0.270910
0.224066, 0.263298
0.208426, 0.251137
0.453245, 0.330486
0.415641, 0.383789
0.231792, 0.340104
0.512476, 0.413402
0.487028, 0.459139
0.351152, 0.433026
0.471613, 0.454233
0.415946, 0.452419
0.424360, 0.448317
0.505226, 0.477307
0.421113, 0.470060
0.518886, 0.498167
0.392468, 0.468616
0.392505, 0.445892
0.496083, 0.467622
0.438235, 0.467811
0.609478, 0.533352
0.460117, 0.523771
0.704145, 0.610216
0.628726, 0.637617
0.531189, 0.618408
0.682252, 0.651423
0.654125, 0.670643
0.602745, 0.658341
0.805465, 0.728619
0.766289, 0.768229
0.585649, 0.718220
0.573563, 0.669062
0.729487, 0.697896
0.707576, 0.713468
0.663890, 0.710365
0.748702, 0.741790
0.673292, 0.733937
0.729899, 0.745455
0.779576, 0.773523
0.662943, 0.749794
0.867949, 0.808632
0.722414, 0.796391
0.834498, 0.829386
0.732363, 0.807719
0.952202, 0.883128
0.964749, 0.937603
0.945035, 0.972840
1.023180, 1.017570
1.020566, 1.048272
0.789316, 0.969273
0.794586, 0.908312
0.948277, 0.928765
0.852824, 0.914490
1.087377, 0.999378
0.851008, 0.971738
0.943480, 0.982866
1.014665, 1.010490
1.035851, 1.046906
1.062742, 1.075684
1.022566, 1.083660
0.990616, 1.069883
1.123035, 1.108979
1.057070, 1.113255
1.167472, 1.158907
0.964546, 1.109308
1.141600, 1.141357
1.023664, 1.114456
1.032321, 1.103176
0.953127, 1.058067
1.172165, 1.120715
1.051641, 1.117347
1.165064, 1.162880
1.226340, 1.215256
1.205838, 1.247022
1.205232, 1.258201
1.174623, 1.253474
1.155119, 1.237381
1.123425, 1.211645
1.159767, 1.209682
1.126637, 1.197513
1.152867, 1.201190
1.183840, 1.216871
0.993952, 1.153958
1.214472, 1.192361
1.169936, 1.207134
1.033815, 1.165988
1.037143, 1.130134
1.054331, 1.117356
1.230141, 1.177663
1.251311, 1.235838
1.219483, 1.266505
1.054714, 1.213724
1.199889, 1.226905
1.093897, 1.192982
1.031549, 1.147212
1.266036, 1.207383
1.029560, 1.167329
1.141960, 1.176709
1.078013, 1.157886
1.055479, 1.140245
1.080282, 1.130033
1.189408, 1.175843
1.274124, 1.241977
1.054264, 1.202626
1.137184, 1.198932
1.215826, 1.225221
1.260127, 1.265368
1.018552, 1.195056
1.060750, 1.160333
1.136885, 1.163493
1.157913, 1.181242
1.222317, 1.220681
1.025647, 1.175263
1.153255, 1.186095
1.134893, 1.185190
1.190647, 1.211058
1.179343, 1.222518
1.161767, 1.227791
0.932415, 1.133174
1.094877, 1.127495
1.096678, 1.128761
1.133956, 1.152891
1.130357, 1.167774
0.976293, 1.120827
0.906792, 1.049906
1.140309, 1.093153
0.920448, 1.045777
0.914438, 1.009465
0.960576, 1.002022
0.977241, 1.011017
0.949420, 1.002522
1.021337, 1.030588
0.848355, 0.981380
0.906730, 0.965270
1.060516, 1.015501
0.972434, 1.024377
0.811682, 0.961597
1.012249, 0.994279
0.985321, 1.010409
0.869743, 0.975733
0.849670, 0.939664
0.847240, 0.916890
0.799783, 0.880259
0.887000, 0.892637
0.716383, 0.839817
0.955011, 0.896660
0.802672, 0.879538
0.925681, 0.918065
0.851903, 0.910320
0.775619, 0.878973
0.766734, 0.842462
0.700636, 0.796873
0.667745, 0.750793
0.661606, 0.720547
0.748021, 0.739640
0.652434, 0.719507
0.586846, 0.679621
0.760659, 0.718687
0.666544, 0.714829
0.654800, 0.705321
0.553203, 0.656438
0.739412, 0.697373
0.507946, 0.634450
0.541942, 0.605103
0.495312, 0.563898
0.426627, 0.515398
0.681745, 0.579340
0.483773, 0.559986
0.625268, 0.599016
0.563271, 0.599149
0.559732, 0.600393
0.391361, 0.523834
0.337336, 0.451880
0.596931, 0.502382
0.526557, 0.524292
0.312880, 0.455807
0.522252, 0.484636
0.310866, 0.426100
0.531704, 0.468008
0.378977, 0.441144
0.403159, 0.438497
0.327131, 0.396309
0.420491, 0.411451
0.424130, 0.420491
0.354472, 0.405997
0.246913, 0.348339
0.167781, 0.275519
0.345503, 0.294572
0.124872, 0.229571
0.264884, 0.241640
0.144261, 0.205084
0.135569, 0.180245
0.175461, 0.172439
